"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ICICIBANK","EQ","02-May-2017","        278.50","        280.20","        280.85","        275.00","        276.20","        275.60","        276.44","   15254731","          4216956500.75","     102117","   10646220","         69.79"
"ICICIBANK","EQ","03-May-2017","        275.60","        275.90","        277.05","        271.25","        273.05","        272.75","        273.56","   22004724","          6019660187.80","     113967","   13255668","         60.24"
"ICICIBANK","EQ","04-May-2017","        272.75","        291.60","        299.75","        283.85","        297.55","        297.80","        294.65","  111019044","         32712096742.30","     475064","   52448293","         47.24"
"ICICIBANK","EQ","05-May-2017","        297.80","        300.00","        301.75","        294.45","        298.00","        298.55","        298.74","   43808474","         13087341442.35","     225134","   20815153","         47.51"
"ICICIBANK","EQ","08-May-2017","        298.55","        300.00","        308.15","        300.00","        302.05","        302.95","        305.03","   27588954","          8415513552.05","     193019","   13336325","         48.34"
"ICICIBANK","EQ","09-May-2017","        302.95","        304.30","        305.35","        298.40","        300.60","        300.60","        301.06","   13812893","          4158569655.90","     118449","    5935313","         42.97"
"ICICIBANK","EQ","10-May-2017","        300.60","        301.10","        302.65","        297.35","        298.90","        298.65","        300.19","   13686210","          4108521937.95","      81132","    5577173","         40.75"
"ICICIBANK","EQ","11-May-2017","        298.65","        301.70","        302.50","        299.55","        299.95","        300.20","        300.88","    9328299","          2806661045.80","      68980","    4043560","         43.35"
"ICICIBANK","EQ","12-May-2017","        300.20","        300.00","        300.55","        293.30","        296.95","        296.55","        296.69","   15095481","          4478646711.75","      94913","    6706859","         44.43"
"ICICIBANK","EQ","15-May-2017","        296.55","        299.50","        303.50","        298.20","        301.20","        301.80","        301.94","   15541542","          4692665331.45","     102949","    8152380","         52.46"
"ICICIBANK","EQ","16-May-2017","        301.80","        302.85","        305.90","        301.05","        302.80","        302.65","        303.03","   17790392","          5391073505.50","     104034","    9692725","         54.48"
"ICICIBANK","EQ","17-May-2017","        302.65","        305.60","        310.20","        304.50","        309.45","        309.75","        308.02","   21239714","          6542231959.55","     130728","   12633915","         59.48"
"ICICIBANK","EQ","18-May-2017","        309.75","        304.70","        312.85","        304.70","        307.50","        307.95","        308.51","   25230864","          7783886421.80","     173047","   14232284","         56.41"
"ICICIBANK","EQ","19-May-2017","        307.95","        307.90","        312.40","        303.70","        307.10","        307.05","        308.04","   15208154","          4684758667.25","     127032","    7022688","         46.18"
"ICICIBANK","EQ","22-May-2017","        307.05","        309.55","        311.55","        302.20","        302.95","        303.85","        306.55","   13500652","          4138561189.60","      96407","    8550870","         63.34"
"ICICIBANK","EQ","23-May-2017","        303.85","        303.15","        309.75","        302.80","        306.10","        306.05","        306.14","   27064561","          8285664366.35","     159021","   15633752","         57.76"
"ICICIBANK","EQ","24-May-2017","        306.05","        306.80","        309.65","        303.30","        306.70","        306.70","        306.44","   18642472","          5712784872.75","     133356","   10922759","         58.59"
"ICICIBANK","EQ","25-May-2017","        306.70","        306.35","        319.85","        306.00","        316.85","        317.70","        314.99","   37977888","         11962638743.30","     183993","   17489007","         46.05"
"ICICIBANK","EQ","26-May-2017","        317.70","        317.00","        323.00","        315.55","        319.10","        321.55","        320.39","   19396445","          6214477085.50","     156335","   11220281","         57.85"
"ICICIBANK","EQ","29-May-2017","        321.55","        319.25","        320.40","        313.80","        314.95","        314.90","        316.57","   10242416","          3242462533.70","     112534","    5601172","         54.69"
"ICICIBANK","EQ","30-May-2017","        314.90","        314.85","        324.50","        314.45","        321.50","        321.40","        321.36","   14157447","          4549596121.40","     133997","    7011943","         49.53"
"ICICIBANK","EQ","31-May-2017","        321.40","        323.00","        327.40","        318.65","        327.00","        326.45","        325.52","  116761345","         38007787115.40","     230126","   94158407","         80.64"
