Date,MMM
2001-02-07,55.94
2001-02-08,56.02
2001-02-09,55.33
2001-02-12,56.24
2001-02-13,57.07
2001-02-14,55.48
2001-02-15,57.38
2001-02-16,56.61
2001-02-20,56.92
2001-02-21,55.63
2001-02-22,55.12
2001-02-23,55.2
2001-02-26,55.68
2001-02-27,56.5
2001-02-28,56.38
2001-03-01,54.8
2001-03-02,55.66
2001-03-05,56.1
2001-03-06,56.12
2001-03-07,56.46
2001-03-08,58.6
2001-03-09,58.2
2001-03-12,55.9
2001-03-13,53.85
2001-03-14,53.76
2001-03-15,54.62
2001-03-16,53.0
2001-03-19,53.99
2001-03-20,52.62
2001-03-21,51.82
2001-03-22,50.9
2001-03-23,50.88
2001-03-26,52.02
2001-03-27,52.7
2001-03-28,52.42
2001-03-29,51.4
2001-03-30,51.95
2001-04-02,51.02
2001-04-03,49.96
2001-04-04,49.31
2001-04-05,51.62
2001-04-06,51.0
2001-04-09,52.29
2001-04-10,54.28
2001-04-11,53.4
2001-04-12,53.86
2001-04-16,55.24
2001-04-17,54.45
2001-04-18,58.0
2001-04-19,58.25
2001-04-20,56.25
2001-04-23,58.15
2001-04-24,58.06
2001-04-25,58.52
2001-04-26,58.92
2001-04-27,59.49
2001-04-30,59.5
2001-05-01,58.76
2001-05-02,58.28
2001-05-03,58.88
2001-05-04,60.0
2001-05-07,58.95
2001-05-08,58.18
2001-05-09,58.46
2001-05-10,59.02
2001-05-11,58.69
2001-05-14,59.15
2001-05-15,59.08
2001-05-16,62.75
2001-05-17,61.86
2001-05-18,61.52
2001-05-21,61.54
2001-05-22,60.5
2001-05-23,60.32
2001-05-24,59.49
2001-05-25,59.38
2001-05-29,59.88
2001-05-30,58.68
2001-05-31,59.29
2001-06-01,59.7
2001-06-04,60.0
2001-06-05,60.75
2001-06-06,60.8
2001-06-07,60.9
2001-06-08,60.06
2001-06-11,60.17
2001-06-12,61.04
2001-06-13,60.98
2001-06-14,60.38
2001-06-15,60.44
2001-06-18,61.12
2001-06-19,60.18
2001-06-20,59.3
2001-06-21,58.17
2001-06-22,58.39
2001-06-25,57.84
2001-06-26,57.5
2001-06-27,57.15
2001-06-28,57.93
2001-06-29,57.05
2001-07-02,58.63
2001-07-03,58.42
2001-07-05,58.22
2001-07-06,57.3
2001-07-09,57.42
2001-07-10,55.82
2001-07-11,55.87
2001-07-12,56.76
2001-07-13,56.12
2001-07-16,55.02
2001-07-17,56.43
2001-07-18,56.88
2001-07-19,57.32
2001-07-20,56.5
2001-07-23,55.66
2001-07-24,53.53
2001-07-25,55.18
2001-07-26,55.73
2001-07-27,55.74
2001-07-30,54.62
2001-07-31,55.94
2001-08-01,55.5
2001-08-02,55.64
2001-08-03,55.86
2001-08-06,54.68
2001-08-07,55.42
2001-08-08,54.1
2001-08-09,53.76
2001-08-10,54.92
2001-08-13,55.25
2001-08-14,54.55
2001-08-15,54.82
2001-08-16,54.51
2001-08-17,54.34
2001-08-20,54.3
2001-08-21,53.88
2001-08-22,54.9
2001-08-23,54.18
2001-08-24,55.3
2001-08-27,55.28
2001-08-28,54.65
2001-08-29,53.38
2001-08-30,52.1
2001-08-31,52.05
2001-09-04,52.28
2001-09-05,52.5
2001-09-06,51.95
2001-09-07,50.39
2001-09-10,51.1
2001-09-17,47.72
2001-09-18,47.07
2001-09-19,46.22
2001-09-20,45.16
