Date,Open,High,Low,Close,Volume
2001-02-07,21.15,21.96,21.05,21.96,827500
2001-02-08,21.55,21.99,21.5,21.76,514100
2001-02-09,21.5,22.56,21.5,22.5,1033800
2001-02-12,22.26,22.72,21.8,22.3,724500
2001-02-13,22.06,22.13,21.76,22.09,657400
2001-02-14,21.4,21.93,21.35,21.71,620000
2001-02-15,21.46,21.73,21.3,21.73,664400
2001-02-16,21.4,22.2,21.4,21.97,1167900
2001-02-20,21.8,22.02,21.4,21.8,787300
2001-02-21,21.9,22.24,21.8,21.94,533800
2001-02-22,21.7,22.1,21.25,21.92,427300
2001-02-23,21.68,22.18,21.55,22.1,562100
2001-02-26,22.13,22.64,21.92,22.22,487100
2001-02-27,22.1,22.47,22.0,22.31,529800
2001-02-28,22.31,22.35,21.95,22.35,376600
2001-03-01,21.8,22.35,21.8,22.19,456700
2001-03-02,22.05,22.73,21.89,22.66,569000
2001-03-05,22.43,22.74,22.3,22.64,398800
2001-03-06,23.0,23.0,22.45,22.65,383700
2001-03-07,23.0,23.6,22.95,23.6,915000
2001-03-08,23.25,23.94,23.25,23.74,632400
2001-03-09,23.7,23.74,23.0,23.15,411800
2001-03-12,23.16,23.45,22.81,23.09,476200
2001-03-13,23.0,23.2,22.4,23.03,316600
2001-03-14,22.7,23.06,22.36,22.84,916200
2001-03-15,22.84,23.17,22.5,23.11,3092800
2001-03-16,22.75,23.03,22.0,22.26,1023700
2001-03-19,22.65,23.02,22.29,22.99,386500
2001-03-20,22.45,22.74,22.0,22.41,550800
2001-03-21,22.05,22.75,22.05,22.25,360400
2001-03-22,22.1,22.35,20.93,21.72,1130400
2001-03-23,21.5,21.53,20.8,21.07,516500
2001-03-26,22.0,23.18,21.79,23.0,1297600
2001-03-27,22.8,23.25,22.78,22.9,801500
2001-03-28,23.1,23.2,22.85,23.05,605700
2001-03-29,23.0,23.25,22.8,23.19,366500
2001-03-30,23.0,23.49,22.95,23.28,443400
2001-04-02,23.1,23.79,23.0,23.3,683000
2001-04-03,23.3,23.46,22.91,23.24,626500
2001-04-04,23.49,23.57,22.95,23.24,458600
2001-04-05,23.24,24.25,22.87,24.15,1000500
2001-04-06,24.05,24.35,21.98,22.3,2275200
2001-04-09,22.6,23.25,22.56,23.17,1015600
2001-04-10,23.4,24.49,23.4,24.16,943700
2001-04-11,23.65,24.24,23.49,23.85,513400
2001-04-12,23.9,24.1,23.6,23.75,560900
2001-04-16,23.95,25.26,23.95,25.05,1350000
2001-04-17,25.05,26.29,25.05,26.09,1606900
2001-04-18,26.5,26.6,25.53,25.93,1338700
2001-04-19,25.2,25.85,24.8,25.1,1062100
2001-04-20,25.25,25.36,24.39,24.45,1089500
2001-04-23,24.5,25.73,24.47,25.71,887900
2001-04-24,25.95,26.9,25.77,26.87,1634700
2001-04-25,26.9,27.0,26.3,26.41,824500
2001-04-26,26.65,27.77,26.54,27.15,1155300
2001-04-27,28.0,28.45,27.24,28.22,1513900
2001-04-30,28.2,28.2,27.3,27.67,1277600
2001-05-01,27.65,27.95,27.35,27.64,726000
2001-05-02,27.8,27.81,27.2,27.62,1158200
2001-05-03,27.5,28.05,27.02,27.13,1075000
2001-05-04,26.7,27.49,26.65,27.3,684700
2001-05-07,28.25,28.3,27.24,27.71,704400
2001-05-08,27.75,28.05,27.55,28.03,514600
